timestamp,temperature,humidity,wind_speed,pm10,pm25,carbon_monoxide,nitrogen_dioxide,aqi
2025-08-04 00:00:00+05:00,27.7,87,10.9,39.6,17.5,243.0,17.7,68
2025-08-04 01:00:00+05:00,27.6,88,9.4,38.1,16.5,187.0,14.5,68
2025-08-04 02:00:00+05:00,27.6,88,11.1,36.7,15.6,145.0,11.7,68
2025-08-04 03:00:00+05:00,27.5,88,15.0,36.6,15.0,124.0,9.9,67
2025-08-04 04:00:00+05:00,27.4,88,15.1,36.2,14.5,118.0,8.5,67
2025-08-04 05:00:00+05:00,27.5,88,15.0,36.6,14.3,134.0,7.8,67
2025-08-04 06:00:00+05:00,27.4,86,14.4,35.9,14.2,192.0,8.4,67
2025-08-04 07:00:00+05:00,27.5,84,13.9,42.7,15.5,272.0,9.8,66
2025-08-04 08:00:00+05:00,28.1,79,16.6,44.6,16.3,318.0,10.2,66
2025-08-04 09:00:00+05:00,28.8,76,20.6,50.5,17.3,295.0,8.7,65
2025-08-04 10:00:00+05:00,29.3,75,22.8,57.4,18.9,238.0,6.2,65
2025-08-04 11:00:00+05:00,29.8,74,22.0,61.9,19.8,195.0,4.3,65
2025-08-04 12:00:00+05:00,30.2,72,23.5,66.8,21.2,186.0,3.4,64
2025-08-04 13:00:00+05:00,30.5,72,24.7,65.9,21.1,193.0,3.1,64
2025-08-04 14:00:00+05:00,30.5,72,26.3,67.3,21.1,204.0,3.3,64
2025-08-04 15:00:00+05:00,30.2,71,25.8,63.8,20.3,222.0,3.8,64
2025-08-04 16:00:00+05:00,30.1,70,25.0,60.1,19.5,245.0,4.9,63
2025-08-04 17:00:00+05:00,29.7,74,22.0,56.9,18.9,261.0,6.6,63
2025-08-04 18:00:00+05:00,29.1,76,20.8,51.3,17.9,264.0,9.7,63
2025-08-04 19:00:00+05:00,28.6,79,19.1,45.4,17.3,261.0,13.6,63
2025-08-04 20:00:00+05:00,28.2,82,16.8,48.7,19.1,253.0,16.2,63
2025-08-04 21:00:00+05:00,28.0,83,16.6,45.1,19.0,243.0,16.8,63
2025-08-04 22:00:00+05:00,27.8,84,17.3,38.1,17.2,229.0,16.1,62
